country	lat	lng
PLW	7.473	134.549
CYM	19.331	-81.25
UGA	2.085	32.722
MHL	5.961	169.651
JAM	18.163	-77.477
NIU	-19.033	-169.86
FJI	-17.15	177.186
BLZ	17.108	-88.744
DMA	15.458	-61.35
MCO	43.747	7.401
TUV	-7.48	178.68
CPV	15.416	-23.36
IRQ	33.545	43.278
MYT	-12.833	45.166
SEN	15.044	-15.081
COD	-1.418	23.607
MAC	22.132	113.558
TCD	15.981	18.781
BFA	12.673	-1.226
CIV	7.497	-5.336
LAO	19.595	102.538
MNG	46.516	102.564
MLI	18.211	-2.209
BIH	44.342	17.804
MDV	4.221	73.463
CYP	34.894	32.928
GGY	49.457	-2.572
AFG	34.051	66.507
ZMB	-15.13	25.268
NIC	12.692	-85.03
COK	-21.202	-159.82
PAN	8.348	-81.005
LBN	34.161	36.021
TON	-21.167	-175.19
JEY	49.218	-2.116
FRO	62.053	-6.863
KWT	29.396	47.326
PNG	-5.636	142.798
PRK	39.767	126.389
LUX	49.671	6.113
ECU	-1.151	-78.308
COG	0.509	16.08
WLF	-13.262	-176.15
HRV	45.754	16.385
GMB	13.499	-14.641
LIE	47.105	9.556
ZWE	-19.098	30.047
SLV	13.848	-89.229
MLT	35.884	14.446
GUM	13.37	144.7
AZE	40.46	47.883
LKA	7.3	80.727
ZAF	-31.7	23.441
MMR	21.841	96.05
HTI	19.302	-72.273
VIR	17.74	-64.8
BOL	-16.71	-65.183
PHL	17.181	121.256
CUB	20.571	-76.456
HUN	47.174	19.618
GBR	52.289	-1.259
FRA	46.656	2.543
HKG	22.436	114.099
MAR	31.129	-7.355
IRN	32.598	55.703
CHE	47.012	8.351
GTM	15.124	-90.711
CZE	49.848	14.717
NOR	61.155	9.77
IDN	-0.739	114.045
SVK	48.757	18.957
VNM	21.75	105.373
UZB	41.757	63.958
LVA	56.874	26.263
ISL	64.826	-18.417
POL	52.442	19.72
BEL	50.773	4.809
SRB	44.021	20.699
SVN	46.037	14.534
KHM	12.69	104.444
CAN	59.621	-111.2
SHN	-40.289	-10.033
KIR	2.048	-158.59
AUT	47.65	14.705
SM2	43.934	12.454
GRC	39.787	21.617
SGP	1.364	103.81
DEU	51.394	9.657
GIB	36.14	-5.373
JPN	35.962	137.855
ETH	8.435	38.786
USA	40.731	-99.225
BTN	27.488	90.147
GRL	71	-39
MDG	-19.615	46.645
GAB	-0.406	11.914
THA	15.688	100.845
MKD	41.636	21.676
BGD	24.379	89.804
AUS	-24.578	133.582
ISR	30.992	34.834
NZL	-42.558	172.377
NLD	52.426	5.721
ATG	17.625	-61.786
FSM	7.531	150.457
TWN	23.513	120.797
ALB	40.654	20.076
GRD	12.107	-61.681
SMR	43.934	12.454
UKR	49.364	32.132
BRN	4.452	114.557
COL	3.794	-73.606
CRI	10.126	-84.075
BRA	-11.694	-48.978
NER	16.996	9.915
PRT	40.957	-7.799
RUS	64.736	104.062
EGY	26.16	28.742
DNK	56.113	9.096
CMR	4.4	12.131
ROU	45.933	25.119
VEN	6.983	-64.588
PRI	18.242	-66.643
FIN	62.716	26.192
ARE	23.431	54.446
ANT	12.165	-68.937
NGA	9.894	7.311
EST	58.777	25.977
DOM	19.072	-70.988
CHN	33.097	107.771
IND	22.741	78.236
TUR	39.144	34.188
SOM	2.875	43.446
BMU	32.3	-64.761
HND	14.881	-87.123
KOR	36.338	128.16
IRL	53.214	-7.588
AND	42.541	1.546
TUN	35.594	9.421
MDA	47.524	28.444
LTU	55.342	24.23
ARG	-33.166	-64.31
MOZ	-13.852	38.042
PSE	32.097	35.26
GEO	42.05	43.576
SAU	24.191	44.32
SWE	65.903	18.572
MEX	22.925	-101.68
NPL	28.929	82.16
PER	-12.664	-72.98
MUS	-20.323	57.518
MYS	4.416	102.099
ESP	40.617	-3.388
PRY	-23.266	-58.409
ITA	45.282	10.622
BGR	42.625	24.521
ABW	12.556	-70.024
GUF	3.96	-53.047
MWI	-13.258	33.723
KNA	17.147	-62.58
ARM	40.56	44.449
CHL	-23.176	-69.201
SWZ	-26.596	31.47
SDN	15.739	29.533
TTO	10.448	-61.257
VGB	18.439	-64.586
AGO	-12.836	17.808
PAK	27.618	66.604
SUR	4.248	-55.848
KEN	0.806	38.166
BRB	13.147	-59.557
NAM	-21.276	17.219
TZA	-5.651	34.146
KAZ	48.866	69.772
BHR	26.028	50.55
DZA	27.565	3.741
BEN	10.478	2.274
KGZ	41.741	75.043
TGO	7.7	1.106
JOR	30.681	36.279
OMN	19.85	56.25
SYR	35.303	38.322
BLR	53.48	28.241
AIA	18.245	-63.023
BHS	24.616	-77.989
RWA	-1.887	29.904
MRT	19.413	-9.687
BDI	-3.333	29.749
GIN	10.599	-10.907
LBY	27.24	17.571
SLE	8.677	-11.779
VCT	13.234	-61.202
YEM	15.569	47.793
GHA	7.258	-1.062
COM	-11.755	43.342
IMN	54.234	-4.522
QAT	25.168	51.17
VUT	-15.339	166.89
BWA	-22.126	23.662
URY	-32.948	-56.249
MNE	42.857	19.096
DJI	11.41	42.165
CAF	7.043	21.424
GUY	5.17	-58.939
TJK	38.367	72.597